pair,asset_a,asset_b,window_start,window_end,stat,pvalue
SOL_GBP-XRP_GBP,SOL_GBP,XRP_GBP,2023-01-09T10:27:00.000000,2023-02-08T09:27:00.000000,-2.5112963278955736,0.27410985802519766
SOL_GBP-XRP_GBP,SOL_GBP,XRP_GBP,2023-03-08T09:27:00.000000,2023-04-07T08:27:00.000000,-1.8418315876100777,0.6091895669277787
SOL_GBP-XRP_GBP,SOL_GBP,XRP_GBP,2023-04-20T18:27:00.000000,2023-05-20T17:27:00.000000,-2.1990110938086462,0.42487352925500144
SOL_GBP-XRP_GBP,SOL_GBP,XRP_GBP,2023-04-22T05:27:00.000000,2023-05-22T04:27:00.000000,-0.9567475442759001,0.9107481321001658
SOL_GBP-XRP_GBP,SOL_GBP,XRP_GBP,2023-04-27T10:27:00.000000,2023-05-27T09:27:00.000000,-0.9415078450623293,0.9133911046764761
SOL_GBP-XRP_GBP,SOL_GBP,XRP_GBP,2023-05-06T17:27:00.000000,2023-06-05T16:27:00.000000,-3.3826934749430793,0.0443093852043853
SOL_GBP-XRP_GBP,SOL_GBP,XRP_GBP,2023-05-06T23:27:00.000000,2023-06-05T22:27:00.000000,-2.8846006114276643,0.14024414702271448
SOL_GBP-XRP_GBP,SOL_GBP,XRP_GBP,2023-06-24T07:27:00.000000,2023-07-24T06:27:00.000000,-2.2726728233456397,0.3872651033685259
SOL_GBP-XRP_GBP,SOL_GBP,XRP_GBP,2023-11-02T11:27:00.000000,2023-12-02T10:27:00.000000,-1.9565008213922737,0.5511020328601498
SOL_GBP-XRP_GBP,SOL_GBP,XRP_GBP,2023-11-19T05:27:00.000000,2023-12-19T04:27:00.000000,-1.1586733864872938,0.8683927044362749
SOL_GBP-XRP_GBP,SOL_GBP,XRP_GBP,2023-12-03T21:27:00.000000,2024-01-02T20:27:00.000000,-0.8329255521598885,0.9302373482001711
SOL_GBP-XRP_GBP,SOL_GBP,XRP_GBP,2023-12-08T08:27:00.000000,2024-01-07T07:27:00.000000,-1.5298486710455788,0.7495693200316695
SOL_GBP-XRP_GBP,SOL_GBP,XRP_GBP,2024-02-09T23:27:00.000000,2024-03-10T22:27:00.000000,-2.613195669180579,0.2315471230964239
SOL_GBP-XRP_GBP,SOL_GBP,XRP_GBP,2024-02-18T01:27:00.000000,2024-03-19T00:27:00.000000,-1.5694773595605738,0.7335991632792833
SOL_GBP-XRP_GBP,SOL_GBP,XRP_GBP,2024-03-28T21:27:00.000000,2024-04-27T20:27:00.000000,-3.8731532312099493,0.010798400911157236
SOL_GBP-XRP_GBP,SOL_GBP,XRP_GBP,2024-05-26T15:27:00.000000,2024-06-25T14:27:00.000000,-2.459526301231338,0.29720476932651463
SOL_GBP-XRP_GBP,SOL_GBP,XRP_GBP,2024-06-15T05:27:00.000000,2024-07-15T04:27:00.000000,-3.0132852386736,0.10708128282225232
SOL_GBP-XRP_GBP,SOL_GBP,XRP_GBP,2024-06-16T15:27:00.000000,2024-07-16T14:27:00.000000,-2.68258238179907,0.205905515403716
SOL_GBP-XRP_GBP,SOL_GBP,XRP_GBP,2024-07-04T11:27:00.000000,2024-08-03T10:27:00.000000,-2.7481018349438537,0.18275691911901015
SOL_GBP-XRP_GBP,SOL_GBP,XRP_GBP,2024-07-28T12:27:00.000000,2024-08-27T11:27:00.000000,-3.1806534397485233,0.0732232141285575
SOL_GBP-XRP_GBP,SOL_GBP,XRP_GBP,2024-09-03T04:27:00.000000,2024-10-03T03:27:00.000000,-1.8260456029122623,0.6169866835573921
SOL_GBP-XRP_GBP,SOL_GBP,XRP_GBP,2024-10-01T09:27:00.000000,2024-10-31T08:27:00.000000,-0.8999370442796599,0.9202420197107031
SOL_GBP-XRP_GBP,SOL_GBP,XRP_GBP,2024-10-14T22:27:00.000000,2024-11-13T21:27:00.000000,-2.2938828481538245,0.3766091318600528
SOL_GBP-XRP_GBP,SOL_GBP,XRP_GBP,2025-01-11T21:27:00.000000,2025-02-10T20:27:00.000000,-2.3582971967259296,0.3448519197497
SOL_GBP-XRP_GBP,SOL_GBP,XRP_GBP,2025-02-14T10:27:00.000000,2025-03-16T09:27:00.000000,-3.217767916614301,0.0670063430877449
SOL_GBP-XRP_GBP,SOL_GBP,XRP_GBP,2025-03-29T20:27:00.000000,2025-04-28T19:27:00.000000,-2.3844298591472173,0.33226440014634107
SOL_GBP-XRP_GBP,SOL_GBP,XRP_GBP,2025-04-11T09:27:00.000000,2025-05-11T08:27:00.000000,-2.9159855517419206,0.13155018024343323
SOL_GBP-XRP_GBP,SOL_GBP,XRP_GBP,2025-04-16T17:27:00.000000,2025-05-16T16:27:00.000000,-4.091034262369354,0.0053031020927825495
SOL_GBP-XRP_GBP,SOL_GBP,XRP_GBP,2025-06-25T22:27:00.000000,2025-07-25T21:27:00.000000,-2.7941076039332993,0.1675667152847804
SOL_GBP-XRP_GBP,SOL_GBP,XRP_GBP,2025-08-06T02:27:00.000000,2025-09-05T01:27:00.000000,-2.6189139042023415,0.22927969358340633
SOL_GBP-XRP_GBP,SOL_GBP,XRP_GBP,2025-08-26T14:27:00.000000,2025-09-25T13:27:00.000000,-2.9492924611555864,0.12275604486297492
SOL_GBP-XRP_GBP,SOL_GBP,XRP_GBP,2025-09-19T20:27:00.000000,2025-10-19T19:27:00.000000,-2.195492443453328,0.4266891713733007
SOL_GBP-XRP_GBP,SOL_GBP,XRP_GBP,2025-10-12T00:27:00.000000,2025-11-10T23:27:00.000000,-1.0951707302710219,0.8832601320105937
SOL_GBP-XRP_GBP,SOL_GBP,XRP_GBP,2025-10-12T12:27:00.000000,2025-11-11T11:27:00.000000,-0.8863617620000432,0.9223688727731274
SOL_GBP-XRP_GBP,SOL_GBP,XRP_GBP,2025-11-10T16:27:00.000000,2025-12-10T15:27:00.000000,-3.8548016078884944,0.011438584742245319
SOL_GBP-XRP_GBP,SOL_GBP,XRP_GBP,2025-11-17T19:27:00.000000,2025-12-17T18:27:00.000000,-4.8609026364858074,0.0002942365467683919
SOL_GBP-XRP_GBP,SOL_GBP,XRP_GBP,2025-11-20T18:27:00.000000,2025-12-20T17:27:00.000000,-4.458148728582178,0.0014336205295920688
BCH_GBP-ADA_GBP,BCH_GBP,ADA_GBP,2021-09-27T16:27:00.000000,2021-10-27T15:27:00.000000,-2.236481835152119,0.4056380915785772
BCH_GBP-ADA_GBP,BCH_GBP,ADA_GBP,2021-10-02T05:27:00.000000,2021-11-01T04:27:00.000000,-2.9797134669499363,0.11510668320523632
BCH_GBP-ADA_GBP,BCH_GBP,ADA_GBP,2021-10-14T22:27:00.000000,2021-11-13T21:27:00.000000,-2.3869303292441804,0.33106982647076066
